gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-07-17a.921.2.2,2019-07-17,uk.org.publicwhip/debate/2019-07-17a.918.0,"",uk.org.publicwhip/debate/2019-07-17a.921.2,a921.2/2,Question put and agreed to.,INDEPENDENT COMPLAINTS AND GRIEVANCE SCHEME,uk.org.publicwhip/debate/2019-07-17a.918.2.1,house-of-commons,514
uk.org.publicwhip/debate/2019-07-17a.928.0.24,2019-07-17,uk.org.publicwhip/debate/2019-07-17a.918.0,uk.org.publicwhip/debate/2019-07-17a.921.3,uk.org.publicwhip/debate/2019-07-17a.928.0,a928.0/24,Question put and agreed to.,Adjournment Debate: INDEPENDENT COMPLAINTS AND GRIEVANCE SCHEME,uk.org.publicwhip/debate/2019-07-17a.922.0.1,house-of-commons,515
uk.org.publicwhip/debate/2019-07-18a.1047.0.4,2019-07-18,uk.org.publicwhip/debate/2019-07-18a.1018.0,"",uk.org.publicwhip/debate/2019-07-18a.1047.0,a1047.0/4,Question put and agreed to.,PERSECUTION OF CHRISTIANS OVERSEAS,uk.org.publicwhip/debate/2019-07-18a.1018.1.1,house-of-commons,384
uk.org.publicwhip/debate/2019-07-18a.1063.0.5,2019-07-18,uk.org.publicwhip/debate/2019-07-18a.1048.0,"",uk.org.publicwhip/debate/2019-07-18a.1063.0,a1063.0/5,Question put and agreed to.,NON-INVASIVE PRECISION CANCER THERAPIES,uk.org.publicwhip/debate/2019-07-18a.1048.1.1,house-of-commons,385
uk.org.publicwhip/debate/2019-07-18a.1069.2.7,2019-07-18,uk.org.publicwhip/debate/2019-07-18a.1048.0,uk.org.publicwhip/debate/2019-07-18a.1063.1,uk.org.publicwhip/debate/2019-07-18a.1069.2,a1069.2/7,Question put and agreed to.,Adjournment Debate: NON-INVASIVE PRECISION CANCER THERAPIES,uk.org.publicwhip/debate/2019-07-18a.1064.0.1,house-of-commons,386
uk.org.publicwhip/debate/2019-07-22d.1161.1.4,2019-07-22,uk.org.publicwhip/debate/2019-07-22d.1156.0,uk.org.publicwhip/debate/2019-07-22d.1156.3,uk.org.publicwhip/debate/2019-07-22d.1161.1,d1161.1/4,Question put and agreed to.,POINT OF ORDER: Serjeant at Arms,uk.org.publicwhip/debate/2019-07-22d.1157.0.1,house-of-commons,151
uk.org.publicwhip/debate/2019-07-22d.1163.4.6,2019-07-22,uk.org.publicwhip/debate/2019-07-22d.1163.0,"",uk.org.publicwhip/debate/2019-07-22d.1163.4,d1163.4/6,Question put and agreed to.,Third Reading: NON-DOMESTIC RATING (LISTS) BILL,uk.org.publicwhip/debate/2019-07-22d.1163.3.1,house-of-commons,152
uk.org.publicwhip/debate/2019-07-22d.1190.1.2,2019-07-22,uk.org.publicwhip/debate/2019-07-22d.1165.2,uk.org.publicwhip/debate/2019-07-22d.1166.8,uk.org.publicwhip/debate/2019-07-22d.1190.1,d1190.1/2,Question put and agreed to.,Adjournment Debate: PETITION - SHELTON ROAD PLANNING APPLICATION,uk.org.publicwhip/debate/2019-07-22d.1167.0.1,house-of-commons,153
uk.org.publicwhip/debate/2019-07-23a.1229.2.24,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1229.0,"",uk.org.publicwhip/debate/2019-07-23a.1229.2,a1229.2/24,Question put and agreed to.,Leave for Bill: TIBET (RECIPROCAL ACCESS),uk.org.publicwhip/debate/2019-07-23a.1229.2.1,house-of-commons,40
uk.org.publicwhip/debate/2019-07-23a.1238.2.5,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1232.0,"",uk.org.publicwhip/debate/2019-07-23a.1238.2,a1238.2/5,Question put and agreed to.,EXITING THE EUROPEAN UNION (TRANSPORT),uk.org.publicwhip/debate/2019-07-23a.1233.0.1,house-of-commons,41
uk.org.publicwhip/debate/2019-07-23a.1241.0.2,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1232.0,uk.org.publicwhip/debate/2019-07-23a.1238.3,uk.org.publicwhip/debate/2019-07-23a.1241.0,a1241.0/2,Question put and agreed to.,EXITING THE EUROPEAN UNION (TRANSPORT): Electoral Commission,uk.org.publicwhip/debate/2019-07-23a.1239.1.1,house-of-commons,42
uk.org.publicwhip/debate/2019-07-23a.1246.0.3,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1232.0,uk.org.publicwhip/debate/2019-07-23a.1241.1,uk.org.publicwhip/debate/2019-07-23a.1246.0,a1246.0/3,Question put and agreed to.,Approve: British Nationality Act 1981 (Remedial) Order 2019,uk.org.publicwhip/debate/2019-07-23a.1242.1.1,house-of-commons,43
uk.org.publicwhip/debate/2019-07-23a.1271.1.3,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1232.0,uk.org.publicwhip/debate/2019-07-23a.1246.1,uk.org.publicwhip/debate/2019-07-23a.1271.1,a1271.1/3,Question put and agreed to.,EXITING THE EUROPEAN UNION (TRANSPORT): Body Image and Mental Health,uk.org.publicwhip/debate/2019-07-23a.1247.0.1,house-of-commons,44
uk.org.publicwhip/debate/2019-07-23a.1280.4.2,2019-07-23,uk.org.publicwhip/debate/2019-07-23a.1273.0,uk.org.publicwhip/debate/2019-07-23a.1273.2,uk.org.publicwhip/debate/2019-07-23a.1280.4,a1280.4/2,Question put and agreed to.,Adjournment Debate: PETITION - WINDRUSH,uk.org.publicwhip/debate/2019-07-23a.1274.0.1,house-of-commons,45
uk.org.publicwhip/debate/2019-07-24b.1349.1.21,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1348.2,"",uk.org.publicwhip/debate/2019-07-24b.1349.1,b1349.1/21,Question put and agreed to.,Leave for Bill: DOCKLESS BICYCLES (REGULATION),uk.org.publicwhip/debate/2019-07-24b.1349.1.1,house-of-commons,378
uk.org.publicwhip/debate/2019-07-24b.1360.4.9,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1351.0,uk.org.publicwhip/debate/2019-07-24b.1352.3,uk.org.publicwhip/debate/2019-07-24b.1360.4,b1360.4/9,Question put and agreed to.,KEW GARDENS (LEASES)  (NO. 3) BILL [LORDS]: Power to grant a lease in respect of land at Kew Gardens,uk.org.publicwhip/debate/2019-07-24b.1352.4.1,house-of-commons,379
uk.org.publicwhip/debate/2019-07-24b.1366.4.2,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1351.0,uk.org.publicwhip/debate/2019-07-24b.1362.1,uk.org.publicwhip/debate/2019-07-24b.1366.4,b1366.4/2,Question put and agreed to.,KEW GARDENS (LEASES)  (NO. 3) BILL [LORDS]: Power to grant a lease in respect of land at Kew Gardens,uk.org.publicwhip/debate/2019-07-24b.1362.2.1,house-of-commons,380
uk.org.publicwhip/debate/2019-07-24b.1369.1.3,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1351.0,uk.org.publicwhip/debate/2019-07-24b.1362.1,uk.org.publicwhip/debate/2019-07-24b.1369.1,b1369.1/3,Question put and agreed to.,Third Reading: KEW GARDENS (LEASES)  (NO. 3) BILL [LORDS],uk.org.publicwhip/debate/2019-07-24b.1366.5.1,house-of-commons,381
uk.org.publicwhip/debate/2019-07-24b.1401.1.5,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1351.0,uk.org.publicwhip/debate/2019-07-24b.1369.2,uk.org.publicwhip/debate/2019-07-24b.1401.1,b1401.1/5,Question put and agreed to.,KEW GARDENS (LEASES)  (NO. 3) BILL [LORDS]: Youth Services,uk.org.publicwhip/debate/2019-07-24b.1370.0.1,house-of-commons,382
uk.org.publicwhip/debate/2019-07-24b.1414.2.2,2019-07-24,uk.org.publicwhip/debate/2019-07-24b.1405.0,uk.org.publicwhip/debate/2019-07-24b.1405.2,uk.org.publicwhip/debate/2019-07-24b.1414.2,b1414.2/2,Question put and agreed to.,Adjournment Debate: PETITION - ROAD SAFETY OUTSIDE WINGATE PRIMARY SCHOOL,uk.org.publicwhip/debate/2019-07-24b.1406.0.1,house-of-commons,383
uk.org.publicwhip/debate/2019-07-25a.1550.0.2,2019-07-25,uk.org.publicwhip/debate/2019-07-25a.1503.0,"",uk.org.publicwhip/debate/2019-07-25a.1550.0,a1550.0/2,Question put and agreed to.,SUMMER ADJOURNMENT,uk.org.publicwhip/debate/2019-07-25a.1550.0.3,house-of-commons,275
uk.org.publicwhip/debate/2019-07-25a.1558.1.4,2019-07-25,uk.org.publicwhip/debate/2019-07-25a.1552.0,uk.org.publicwhip/debate/2019-07-25a.1552.2,uk.org.publicwhip/debate/2019-07-25a.1558.1,a1558.1/4,Question put and agreed to.,Adjournment Debate: PETITION - BETTER AIR QUALITY,uk.org.publicwhip/debate/2019-07-25a.1552.3.1,house-of-commons,276
uk.org.publicwhip/debate/2019-09-03b.131.1.3,2019-09-03,uk.org.publicwhip/debate/2019-09-03b.80.0,"",uk.org.publicwhip/debate/2019-09-03b.131.1,b131.1/3,Question agreed to.,EUROPEAN UNION (WITHDRAWAL),uk.org.publicwhip/debate/2019-09-03b.131.1.2,house-of-commons,116
uk.org.publicwhip/debate/2019-09-03b.142.5.3,2019-09-03,uk.org.publicwhip/debate/2019-09-03b.142.4,"",uk.org.publicwhip/debate/2019-09-03b.142.5,b142.5/3,Question agreed to.,ELECTION OF SELECT COMMITTEE CHAIRS (NOTICE OF ELECTION),uk.org.publicwhip/debate/2019-09-03b.142.5.1,house-of-commons,117
uk.org.publicwhip/debate/2019-09-03b.150.3.6,2019-09-03,uk.org.publicwhip/debate/2019-09-03b.142.4,uk.org.publicwhip/debate/2019-09-03b.142.7,uk.org.publicwhip/debate/2019-09-03b.150.3,b150.3/6,Question put and agreed to.,Adjournment Debate: ELECTION OF SELECT COMMITTEE CHAIRS (NOTICE OF ELECTION),uk.org.publicwhip/debate/2019-09-03b.142.8.1,house-of-commons,118
uk.org.publicwhip/debate/2019-09-03b.78.3.11,2019-09-03,uk.org.publicwhip/debate/2019-09-03b.77.2,"",uk.org.publicwhip/debate/2019-09-03b.78.3,b78.3/11,Question put and agreed to.,Leave for Bill: CLEAN AIR,uk.org.publicwhip/debate/2019-09-03b.78.1.1,house-of-commons,115
uk.org.publicwhip/debate/2019-09-04c.206.1.10,2019-09-04,uk.org.publicwhip/debate/2019-09-04c.205.2,"",uk.org.publicwhip/debate/2019-09-04c.206.1,c206.1/10,Question put and agreed to.,Leave for Bill: COMPULSORY PURCHASE AND PLANNING,uk.org.publicwhip/debate/2019-09-04c.206.1.1,house-of-commons,482
uk.org.publicwhip/debate/2019-09-04c.328.1.4,2019-09-04,uk.org.publicwhip/debate/2019-09-04c.319.0,"",uk.org.publicwhip/debate/2019-09-04c.328.1,c328.1/4,Question put and agreed to.,Adjournment Debate: DEPARTMENT OF HEALTH AND SOCIAL CARE: TREASURY FUNDING,uk.org.publicwhip/debate/2019-09-04c.320.0.1,house-of-commons,483
uk.org.publicwhip/debate/2019-09-05b.444.4.2,2019-09-05,uk.org.publicwhip/debate/2019-09-05b.420.0,"",uk.org.publicwhip/debate/2019-09-05b.444.4,b444.4/2,Question put and agreed to.,UK SHARED PROSPERITY FUND,uk.org.publicwhip/debate/2019-09-05b.420.1.1,house-of-commons,78
uk.org.publicwhip/debate/2019-09-05b.465.3.2,2019-09-05,uk.org.publicwhip/debate/2019-09-05b.420.0,uk.org.publicwhip/debate/2019-09-05b.445.2,uk.org.publicwhip/debate/2019-09-05b.465.3,b465.3/2,Question put and agreed to.,UK SHARED PROSPERITY FUND: British House Building Industry,uk.org.publicwhip/debate/2019-09-05b.446.0.1,house-of-commons,79
uk.org.publicwhip/debate/2019-09-05b.474.0.2,2019-09-05,uk.org.publicwhip/debate/2019-09-05b.466.0,"",uk.org.publicwhip/debate/2019-09-05b.474.0,b474.0/2,Question put and agreed to.,Adjournment Debate: SKERNE RIVER: DISCOVER BRIGHTWATER PROJECT,uk.org.publicwhip/debate/2019-09-05b.466.1.1,house-of-commons,80
uk.org.publicwhip/debate/2019-09-09c.554.5.3,2019-09-09,uk.org.publicwhip/debate/2019-09-09c.522.0,"",uk.org.publicwhip/debate/2019-09-09c.554.5,c554.5/3,Question agreed to.,Prorogation (Disclosure of Communications),uk.org.publicwhip/debate/2019-09-09c.554.5.2,house-of-commons,456
uk.org.publicwhip/debate/2019-09-09c.583.1.3,2019-09-09,uk.org.publicwhip/debate/2019-09-09c.559.0,"",uk.org.publicwhip/debate/2019-09-09c.583.1,c583.1/3,Question agreed to.,European Union (Withdrawal)  (No. 2) Act 2019 (Rule of Law),uk.org.publicwhip/debate/2019-09-09c.583.1.2,house-of-commons,457
uk.org.publicwhip/debate/2019-09-09c.608.1.3,2019-09-09,uk.org.publicwhip/debate/2019-09-09c.559.0,uk.org.publicwhip/debate/2019-09-09c.583.3,uk.org.publicwhip/debate/2019-09-09c.608.1,c608.1/3,Question agreed to.,European Union (Withdrawal)  (No. 2) Act 2019 (Rule of Law): Northern Ireland (Executive Formation etc) Act 2019 Section 3(2),uk.org.publicwhip/debate/2019-09-09c.608.1.4,house-of-commons,458
uk.org.publicwhip/debate/2019-09-09c.609.5.3,2019-09-09,uk.org.publicwhip/debate/2019-09-09c.609.4,"",uk.org.publicwhip/debate/2019-09-09c.609.5,c609.5/3,Question agreed to.,Parliamentary Buildings (Restoration and Renewal) Bill (Programme) (No. 2),uk.org.publicwhip/debate/2019-09-09c.609.1.1,house-of-commons,459
uk.org.publicwhip/debate/2019-09-26c.970.3.6,2019-09-26,uk.org.publicwhip/debate/2019-09-26c.920.4,uk.org.publicwhip/debate/2019-09-26c.938.1,uk.org.publicwhip/debate/2019-09-26c.970.3,c970.3/6,Question put and agreed to.,BUSINESS OF THE HOUSE: Principles of Democracy and the  Rights of the Electorate,uk.org.publicwhip/debate/2019-09-26c.939.1.1,house-of-commons,393
uk.org.publicwhip/debate/2019-09-30b.1042.2.2,2019-09-30,uk.org.publicwhip/debate/2019-09-30b.1019.3,uk.org.publicwhip/debate/2019-09-30b.1019.8,uk.org.publicwhip/debate/2019-09-30b.1042.2,b1042.2/2,Question put and agreed to.,BILL PRESENTED: Northern Ireland (Executive Formation etc) Act 2019 Section 7,uk.org.publicwhip/debate/2019-09-30b.1020.0.1,house-of-commons,24
uk.org.publicwhip/debate/2019-09-30b.1056.1.3,2019-09-30,uk.org.publicwhip/debate/2019-09-30b.1043.0,"",uk.org.publicwhip/debate/2019-09-30b.1056.1,b1056.1/3,Question put and agreed to.,NORTHERN IRELAND (EXECUTIVE FORMATION ETC) ACT 2019 SECTION 6,uk.org.publicwhip/debate/2019-09-30b.1043.1.1,house-of-commons,25
uk.org.publicwhip/debate/2019-09-30b.1070.0.10,2019-09-30,uk.org.publicwhip/debate/2019-09-30b.1043.0,uk.org.publicwhip/debate/2019-09-30b.1056.2,uk.org.publicwhip/debate/2019-09-30b.1070.0,b1070.0/10,Question put and agreed to.,NORTHERN IRELAND (EXECUTIVE FORMATION ETC) ACT 2019 SECTION 6: Northern Ireland (Executive Formation etc) Act 2019 Section 5,uk.org.publicwhip/debate/2019-09-30b.1057.0.1,house-of-commons,26
uk.org.publicwhip/debate/2019-09-30b.1086.1.2,2019-09-30,uk.org.publicwhip/debate/2019-09-30b.1071.0,"",uk.org.publicwhip/debate/2019-09-30b.1086.1,b1086.1/2,Question put and agreed to.,NORTHERN IRELAND (EXECUTIVE FORMATION ETC) ACT 2019 SECTION 4,uk.org.publicwhip/debate/2019-09-30b.1072.0.1,house-of-commons,27
uk.org.publicwhip/debate/2019-09-30b.1094.3.2,2019-09-30,uk.org.publicwhip/debate/2019-09-30b.1087.0,"",uk.org.publicwhip/debate/2019-09-30b.1094.3,b1094.3/2,Question put and agreed to.,Adjournment Debate: MARAVIROC AND PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,uk.org.publicwhip/debate/2019-09-30b.1087.1.1,house-of-commons,28
uk.org.publicwhip/debate/2019-10-01a.1170.0.10,2019-10-01,uk.org.publicwhip/debate/2019-10-01a.1148.5,uk.org.publicwhip/debate/2019-10-01a.1161.5,uk.org.publicwhip/debate/2019-10-01a.1170.0,a1170.0/10,Question put and agreed to.,YEMEN: Exiting the European Union (Agriculture),uk.org.publicwhip/debate/2019-10-01a.1162.0.1,house-of-commons,63
uk.org.publicwhip/debate/2019-10-01a.1176.3.4,2019-10-01,uk.org.publicwhip/debate/2019-10-01a.1172.0,"",uk.org.publicwhip/debate/2019-10-01a.1176.3,a1176.3/4,Question put and agreed to.,Approve: Markets in Agricultural Products (Miscellaneous Amendments) (EU Exit) Regulations 2019,uk.org.publicwhip/debate/2019-10-01a.1173.0.1,house-of-commons,64
uk.org.publicwhip/debate/2019-10-01a.1182.0.4,2019-10-01,uk.org.publicwhip/debate/2019-10-01a.1172.0,uk.org.publicwhip/debate/2019-10-01a.1176.4,uk.org.publicwhip/debate/2019-10-01a.1182.0,a1182.0/4,Question put and agreed to.,EXITING THE EUROPEAN UNION (AGRICULTURE): Exiting the European Union (Agriculture),uk.org.publicwhip/debate/2019-10-01a.1177.0.1,house-of-commons,65
uk.org.publicwhip/debate/2019-10-01a.1188.0.5,2019-10-01,uk.org.publicwhip/debate/2019-10-01a.1172.0,uk.org.publicwhip/debate/2019-10-01a.1182.1,uk.org.publicwhip/debate/2019-10-01a.1188.0,a1188.0/5,Question put and agreed to.,EXITING THE EUROPEAN UNION (AGRICULTURE): Exiting the European Union (Pesticides),uk.org.publicwhip/debate/2019-10-01a.1183.1.1,house-of-commons,66
uk.org.publicwhip/debate/2019-10-01a.1203.0.3,2019-10-01,uk.org.publicwhip/debate/2019-10-01a.1190.0,uk.org.publicwhip/debate/2019-10-01a.1190.2,uk.org.publicwhip/debate/2019-10-01a.1203.0,a1203.0/3,Question put and agreed to.,Adjournment Debate: PETITION - FREEWHEELERS' USE OF BUS LANES,uk.org.publicwhip/debate/2019-10-01a.1191.0.1,house-of-commons,67
uk.org.publicwhip/debate/2019-10-02b.1234.1.16,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1233.1,"",uk.org.publicwhip/debate/2019-10-02b.1234.1,b1234.1/16,Question put and agreed to.,Leave for Bill: PUBLIC EXPENDITURE AND TAXATION (ADVISORY BODY),uk.org.publicwhip/debate/2019-10-02b.1234.1.1,house-of-commons,257
uk.org.publicwhip/debate/2019-10-02b.1331.0.2,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1237.0,"",uk.org.publicwhip/debate/2019-10-02b.1331.0,b1331.0/2,Question put and agreed to.,Second Reading: DOMESTIC ABUSE BILL,uk.org.publicwhip/debate/2019-10-02b.1238.2.1,house-of-commons,258
uk.org.publicwhip/debate/2019-10-02b.1332.1.14,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1332.0,"",uk.org.publicwhip/debate/2019-10-02b.1332.1,b1332.1/14,Question agreed to.,DOMESTIC ABUSE BILL (PROGRAMME),uk.org.publicwhip/debate/2019-10-02b.1332.1.1,house-of-commons,259
uk.org.publicwhip/debate/2019-10-02b.1332.3.6,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1332.2,"",uk.org.publicwhip/debate/2019-10-02b.1332.3,b1332.3/6,Question agreed to.,DOMESTIC ABUSE BILL (MONEY),uk.org.publicwhip/debate/2019-10-02b.1332.3.2,house-of-commons,260
uk.org.publicwhip/debate/2019-10-02b.1332.6.3,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1332.5,"",uk.org.publicwhip/debate/2019-10-02b.1332.6,b1332.6/3,Question agreed to.,Disapply Standing Order 41A,uk.org.publicwhip/debate/2019-10-02b.1332.6.1,house-of-commons,261
uk.org.publicwhip/debate/2019-10-02b.1333.1.3,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1333.0,"",uk.org.publicwhip/debate/2019-10-02b.1333.1,b1333.1/3,Question agreed to.,DOMESTIC ABUSE BILL: CARRY-OVER,uk.org.publicwhip/debate/2019-10-02b.1333.1.1,house-of-commons,262
uk.org.publicwhip/debate/2019-10-02b.1339.1.12,2019-10-02,uk.org.publicwhip/debate/2019-10-02b.1333.0,uk.org.publicwhip/debate/2019-10-02b.1333.2,uk.org.publicwhip/debate/2019-10-02b.1339.1,b1339.1/12,Question put and agreed to.,Adjournment Debate: DOMESTIC ABUSE BILL: CARRY-OVER,uk.org.publicwhip/debate/2019-10-02b.1334.0.1,house-of-commons,263
uk.org.publicwhip/debate/2019-10-03b.1443.0.2,2019-10-03,uk.org.publicwhip/debate/2019-10-03b.1415.0,"",uk.org.publicwhip/debate/2019-10-03b.1443.0,b1443.0/2,Question put and agreed to.,WOMEN’S MENTAL HEALTH,uk.org.publicwhip/debate/2019-10-03b.1415.1.1,house-of-commons,453
uk.org.publicwhip/debate/2019-10-03b.1468.0.2,2019-10-03,uk.org.publicwhip/debate/2019-10-03b.1415.0,uk.org.publicwhip/debate/2019-10-03b.1443.1,uk.org.publicwhip/debate/2019-10-03b.1468.0,b1468.0/2,Question put and agreed to.,WOMEN’S MENTAL HEALTH: Ministry of Justice Spending,uk.org.publicwhip/debate/2019-10-03b.1444.1.1,house-of-commons,454
uk.org.publicwhip/debate/2019-10-03b.1474.2.11,2019-10-03,uk.org.publicwhip/debate/2019-10-03b.1468.1,uk.org.publicwhip/debate/2019-10-03b.1468.3,uk.org.publicwhip/debate/2019-10-03b.1474.2,b1474.2/11,Question put and agreed to.,Adjournment Debate: PETITION - RAIL LINK TO FLEETWOOD,uk.org.publicwhip/debate/2019-10-03b.1469.0.1,house-of-commons,455
uk.org.publicwhip/debate/2019-10-07c.1587.0.5,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1581.0,"",uk.org.publicwhip/debate/2019-10-07c.1587.0,c1587.0/5,Question put and agreed to.,NORTHERN IRELAND,uk.org.publicwhip/debate/2019-10-07c.1581.1.1,house-of-commons,81
uk.org.publicwhip/debate/2019-10-07c.1588.5.4,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1587.1,uk.org.publicwhip/debate/2019-10-07c.1588.2,uk.org.publicwhip/debate/2019-10-07c.1588.5,c1588.5/4,Question put and agreed to.,CENSUS (RETURN PARTICULARS AND REMOVAL OF PENALTIES) BILL [LORDS]: Amendment of the Census Act 1920,uk.org.publicwhip/debate/2019-10-07c.1588.3.1,house-of-commons,82
uk.org.publicwhip/debate/2019-10-07c.1595.3.6,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1587.1,uk.org.publicwhip/debate/2019-10-07c.1588.7,uk.org.publicwhip/debate/2019-10-07c.1595.3,c1595.3/6,Question agreed to.,CENSUS (RETURN PARTICULARS AND REMOVAL OF PENALTIES) BILL [LORDS]: Questions on gender identity,uk.org.publicwhip/debate/2019-10-07c.1595.3.2,house-of-commons,83
uk.org.publicwhip/debate/2019-10-07c.1597.0.2,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1587.1,uk.org.publicwhip/debate/2019-10-07c.1588.7,uk.org.publicwhip/debate/2019-10-07c.1597.0,c1597.0/2,Question put and agreed to.,Third Reading: CENSUS (RETURN PARTICULARS AND REMOVAL OF PENALTIES) BILL [LORDS],uk.org.publicwhip/debate/2019-10-07c.1596.0.1,house-of-commons,84
uk.org.publicwhip/debate/2019-10-07c.1597.5.2,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1597.2,uk.org.publicwhip/debate/2019-10-07c.1597.4,uk.org.publicwhip/debate/2019-10-07c.1597.5,c1597.5/2,Question agreed to.,DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-10-07c.1597.3.1,house-of-commons,85
uk.org.publicwhip/debate/2019-10-07c.1598.13.2,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1597.2,uk.org.publicwhip/debate/2019-10-07c.1598.12,uk.org.publicwhip/debate/2019-10-07c.1598.13,c1598.13/2,Question agreed to.,Approve: Capital Requirements (Amendment) (EU Exit) Regulations 2019,uk.org.publicwhip/debate/2019-10-07c.1598.13.1,house-of-commons,86
uk.org.publicwhip/debate/2019-10-07c.1606.0.11,2019-10-07,uk.org.publicwhip/debate/2019-10-07c.1599.0,"",uk.org.publicwhip/debate/2019-10-07c.1606.0,c1606.0/11,Question put and agreed to.,Adjournment Debate: HYPERMOBILITY SYNDROMES: HEALTHWATCH CALDERDALE’S REPORT,uk.org.publicwhip/debate/2019-10-07c.1600.0.1,house-of-commons,87
uk.org.publicwhip/debate/2019-10-08c.1685.1.13,2019-10-08,uk.org.publicwhip/debate/2019-10-08c.1684.3,"",uk.org.publicwhip/debate/2019-10-08c.1685.1,c1685.1/13,Question put and agreed to.,Leave for Bill: NURSE STAFFING LEVELS,uk.org.publicwhip/debate/2019-10-08c.1685.1.1,house-of-commons,287
uk.org.publicwhip/debate/2019-10-08c.1687.5.3,2019-10-08,uk.org.publicwhip/debate/2019-10-08c.1687.2,uk.org.publicwhip/debate/2019-10-08c.1687.4,uk.org.publicwhip/debate/2019-10-08c.1687.5,c1687.5/3,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Financial Services and Markets),uk.org.publicwhip/debate/2019-10-08c.1687.5.2,house-of-commons,288
uk.org.publicwhip/debate/2019-10-08c.1697.0.11,2019-10-08,uk.org.publicwhip/debate/2019-10-08c.1687.2,uk.org.publicwhip/debate/2019-10-08c.1687.6,uk.org.publicwhip/debate/2019-10-08c.1697.0,c1697.0/11,Question put and agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Plant Health),uk.org.publicwhip/debate/2019-10-08c.1688.0.1,house-of-commons,289
uk.org.publicwhip/debate/2019-10-08c.1705.1.5,2019-10-08,uk.org.publicwhip/debate/2019-10-08c.1698.0,"",uk.org.publicwhip/debate/2019-10-08c.1705.1,c1705.1/5,Question put and agreed to.,EXITING THE EUROPEAN UNION (ENVIRONMENTAL PROTECTION),uk.org.publicwhip/debate/2019-10-08c.1699.0.1,house-of-commons,290
uk.org.publicwhip/debate/2019-10-08c.1741.0.2,2019-10-08,uk.org.publicwhip/debate/2019-10-08c.1706.0,uk.org.publicwhip/debate/2019-10-08c.1707.1,uk.org.publicwhip/debate/2019-10-08c.1741.0,c1741.0/2,Question put and agreed to.,BUSINESS OF THE HOUSE (PROROGATION): Baby Loss Awareness Week,uk.org.publicwhip/debate/2019-10-08c.1708.0.1,house-of-commons,291
uk.org.publicwhip/debate/2019-10-14a.124.1.6,2019-10-14,uk.org.publicwhip/debate/2019-10-14a.117.0,"",uk.org.publicwhip/debate/2019-10-14a.124.1,a124.1/6,Question put and agreed to.,Adjournment Debate: BATTLE OF ARNHEM: 75TH ANNIVERSARY,uk.org.publicwhip/debate/2019-10-14a.118.0.1,house-of-commons,411
uk.org.publicwhip/debate/2019-10-15c.267.1.9,2019-10-15,uk.org.publicwhip/debate/2019-10-15c.261.0,"",uk.org.publicwhip/debate/2019-10-15c.267.1,c267.1/9,Question put and agreed to.,Adjournment Debate: Unregulated Accommodation:  16 to 17-year-olds,uk.org.publicwhip/debate/2019-10-15c.261.1.1,house-of-commons,431
uk.org.publicwhip/debate/2019-10-16b.418.1.6,2019-10-16,uk.org.publicwhip/debate/2019-10-16b.392.2,uk.org.publicwhip/debate/2019-10-16b.392.4,uk.org.publicwhip/debate/2019-10-16b.418.1,b418.1/6,Question put and agreed to.,DEFERRED DIVISIONS: Northern Ireland (Executive Formation etc) Act 2019 Section 3(5),uk.org.publicwhip/debate/2019-10-16b.393.0.1,house-of-commons,167
uk.org.publicwhip/debate/2019-10-16b.427.0.11,2019-10-16,uk.org.publicwhip/debate/2019-10-16b.420.2,uk.org.publicwhip/debate/2019-10-16b.420.4,uk.org.publicwhip/debate/2019-10-16b.427.0,b427.0/11,Question put and agreed to.,Adjournment Debate: PETITION - SINGLE USE PLASTICS IN SCHOOLS,uk.org.publicwhip/debate/2019-10-16b.421.0.1,house-of-commons,168
