division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-05-14b.193.0,uk.org.publicwhip/debate/2019-05-14b.146.0.1,house-of-commons,113
uk.org.publicwhip/debate/2019-05-15c.339.3,uk.org.publicwhip/debate/2019-05-15c.339.2.1,house-of-commons,106
uk.org.publicwhip/debate/2019-06-05a.184.0,uk.org.publicwhip/debate/2019-06-05a.173.0.1,house-of-commons,150
uk.org.publicwhip/debate/2019-06-10b.469.3,uk.org.publicwhip/debate/2019-06-10b.453.5.1,house-of-commons,176
uk.org.publicwhip/debate/2019-06-10b.474.1,uk.org.publicwhip/debate/2019-06-10b.473.0.1,house-of-commons,177
uk.org.publicwhip/debate/2019-06-12e.723.1,uk.org.publicwhip/debate/2019-06-12e.690.1.1,house-of-commons,114
uk.org.publicwhip/debate/2019-06-19a.300.5,uk.org.publicwhip/debate/2019-06-19a.300.4.1,house-of-commons,50
uk.org.publicwhip/debate/2019-06-19a.303.0,uk.org.publicwhip/debate/2019-06-19a.300.6.4,house-of-commons,51
uk.org.publicwhip/debate/2019-06-24b.531.4,uk.org.publicwhip/debate/2019-06-24b.531.3.1,house-of-commons,178
uk.org.publicwhip/debate/2019-06-25a.603.7,uk.org.publicwhip/debate/2019-06-25a.603.4.1,house-of-commons,93
uk.org.publicwhip/debate/2019-07-02a.1167.4,uk.org.publicwhip/debate/2019-07-02a.1167.3.1,house-of-commons,46
uk.org.publicwhip/debate/2019-07-02a.1170.4,uk.org.publicwhip/debate/2019-07-02a.1170.3.1,house-of-commons,47
uk.org.publicwhip/debate/2019-07-09c.226.0,uk.org.publicwhip/debate/2019-07-09c.161.5.1,house-of-commons,25
uk.org.publicwhip/debate/2019-07-09c.231.0,uk.org.publicwhip/debate/2019-07-09c.230.5.1,house-of-commons,26
uk.org.publicwhip/debate/2019-07-09c.261.3,uk.org.publicwhip/debate/2019-07-09c.261.2.3,house-of-commons,27
uk.org.publicwhip/debate/2019-07-09c.266.3,uk.org.publicwhip/debate/2019-07-09c.266.2.8,house-of-commons,28
uk.org.publicwhip/debate/2019-07-09c.272.0,uk.org.publicwhip/debate/2019-07-09c.266.4.18,house-of-commons,29
uk.org.publicwhip/debate/2019-07-09c.277.0,uk.org.publicwhip/debate/2019-07-09c.272.1.3,house-of-commons,30
uk.org.publicwhip/debate/2019-07-15b.653.4,uk.org.publicwhip/debate/2019-07-15b.602.4.1,house-of-commons,115
uk.org.publicwhip/debate/2019-07-15b.657.3,uk.org.publicwhip/debate/2019-07-15b.657.2.1,house-of-commons,116
uk.org.publicwhip/debate/2019-07-15b.667.0,uk.org.publicwhip/debate/2019-07-15b.662.0.1,house-of-commons,117
uk.org.publicwhip/debate/2019-07-18a.1003.2,uk.org.publicwhip/debate/2019-07-18a.988.3.1,house-of-commons,111
uk.org.publicwhip/debate/2019-07-18a.1008.0,uk.org.publicwhip/debate/2019-07-18a.1003.3.5,house-of-commons,109
uk.org.publicwhip/debate/2019-07-18a.1012.0,uk.org.publicwhip/debate/2019-07-18a.1008.1.4,house-of-commons,110
uk.org.publicwhip/debate/2019-09-03b.131.3,uk.org.publicwhip/debate/2019-09-03b.131.1.4,house-of-commons,23
uk.org.publicwhip/debate/2019-09-04c.246.0,uk.org.publicwhip/debate/2019-09-04c.215.2.1,house-of-commons,162
uk.org.publicwhip/debate/2019-09-04c.280.2,uk.org.publicwhip/debate/2019-09-04c.251.7.1,house-of-commons,164
uk.org.publicwhip/debate/2019-09-04c.285.0,uk.org.publicwhip/debate/2019-09-04c.280.3.11,house-of-commons,163
uk.org.publicwhip/debate/2019-09-04c.313.1,uk.org.publicwhip/debate/2019-09-04c.291.0.1,house-of-commons,165
