gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,negative,__index_level_0__
uk.org.publicwhip/debate/2020-02-04e.277.2.6,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.212.0,uk.org.publicwhip/debate/2020-02-04e.271.1,uk.org.publicwhip/debate/2020-02-04e.277.2,e277.2/6,Question agreed to.,Third Reading: NHS Funding Bill,uk.org.publicwhip/debate/2020-02-04e.277.2.5,house-of-commons,,612
uk.org.publicwhip/debate/2020-02-04e.277.4.4,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.277.3,"",uk.org.publicwhip/debate/2020-02-04e.277.4,e277.4/4,Question agreed to.,Telecommunications Infrastructure (Leasehold Property) Bill (Programme) (No. 2),uk.org.publicwhip/debate/2020-02-04e.277.4.1,house-of-commons,,613
uk.org.publicwhip/debate/2020-02-04e.282.0.6,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.278.0,"",uk.org.publicwhip/debate/2020-02-04e.282.0,e282.0/6,Question put and agreed to.,Rating and Valuation,uk.org.publicwhip/debate/2020-02-04e.278.1.1,house-of-commons,,614
uk.org.publicwhip/debate/2020-02-04e.284.5.2,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.284.2,uk.org.publicwhip/debate/2020-02-04e.284.4,uk.org.publicwhip/debate/2020-02-04e.284.5,e284.5/2,Question agreed to.,Delegated Legislation,uk.org.publicwhip/debate/2020-02-04e.284.3.1,house-of-commons,,615
uk.org.publicwhip/debate/2020-02-04e.284.7.2,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.284.2,uk.org.publicwhip/debate/2020-02-04e.284.6,uk.org.publicwhip/debate/2020-02-04e.284.7,e284.7/2,Question agreed to.,Delegated Legislation: Electricity,uk.org.publicwhip/debate/2020-02-04e.284.5.3,house-of-commons,,616
uk.org.publicwhip/debate/2020-02-04e.292.1.6,2020-02-04,uk.org.publicwhip/debate/2020-02-04e.286.0,"",uk.org.publicwhip/debate/2020-02-04e.292.1,e292.1/6,Question put and agreed to.,Adjournment Debate: Rail Services: North-East England,uk.org.publicwhip/debate/2020-02-04e.286.1.1,house-of-commons,,617
uk.org.publicwhip/debate/2020-02-05b.371.1.4,2020-02-05,uk.org.publicwhip/debate/2020-02-05b.320.1,"",uk.org.publicwhip/debate/2020-02-05b.371.1,b371.1/4,Question agreed to.,Local Government Finance,uk.org.publicwhip/debate/2020-02-05b.371.1.3,house-of-commons,,346
uk.org.publicwhip/debate/2020-02-05b.431.3.13,2020-02-05,uk.org.publicwhip/debate/2020-02-05b.426.0,"",uk.org.publicwhip/debate/2020-02-05b.431.3,b431.3/13,Question put and agreed to.,Adjournment Debate: Nuclear Energy Policy: Climate Change,uk.org.publicwhip/debate/2020-02-05b.426.1.1,house-of-commons,,347
uk.org.publicwhip/debate/2020-02-06c.506.1.8,2020-02-06,uk.org.publicwhip/debate/2020-02-06c.482.0,"",uk.org.publicwhip/debate/2020-02-06c.506.1,c506.1/8,Question put and agreed to.,Historical Stillbirth Burials and Cremations,uk.org.publicwhip/debate/2020-02-06c.482.1.1,house-of-commons,,416
uk.org.publicwhip/debate/2020-02-06c.550.2.3,2020-02-06,uk.org.publicwhip/debate/2020-02-06c.508.0,"",uk.org.publicwhip/debate/2020-02-06c.550.2,c550.2/3,Question put and agreed to.,Persecution of Christians,uk.org.publicwhip/debate/2020-02-06c.508.1.1,house-of-commons,,417
